Cycle,527,individual,pac_direct,pac_independent,outside_spending,total,ie_ratio,outside_ratio
2004,772628651.2308,694788086.2104,5582795.0178,402287703.363,1174916354.5938,3050203590.4158,0.13188880395625022,0.3851927649306966
2008,311468977.0355,1042066326.9032,4701334.7148,329981802.2136,641450779.2491,2329669220.1162,0.14164319954278362,0.2753398524178061
2012,179278183.5053,1001564392.5243,2763513.665,890682136.0547,1069960319.56,3144248545.3093,0.2832734509437719,0.3402912664637165
2020,568709335.4936,958332485.7875999,1828808.408,1386246455.4903998,1954955790.9839997,4870072876.163599,0.2846459366707497,0.40142228683116066
