Cycle,era,527,527,individual,individual,pac_direct,pac_direct,pac_independent,pac_independent
,,pro_D,pro_R,pro_D,pro_R,pro_D,pro_R,pro_D,pro_R
2004,pre_CU,594981210.0141,177647441.21670002,384336980.0361,310451106.1743,1226321.9241,4356473.0937,322733611.2546,79554092.1084
2008,pre_CU,212817692.3022,98651284.7333,624628142.8622,417438184.041,936024.493,3765310.2218,161518059.272,168463742.9416
2012,post_CU,114220849.5791,65057333.9262,429458050.3103,572106342.214,40332.5087,2723181.1563,259100229.5662,631581906.4885
2020,post_CU,523123295.53959996,45586039.953999996,544584629.2991999,413747856.4884,714824.978,1113983.43,917296905.532,468949549.95839995
