YearWeek,pro_R,pro_D,era,arms_race_index,ari_rolling,Cycle
2000-12,0.0,-15875.3049,pre_CU,,,2004
2000-13,0.0,-8989.2894,pre_CU,,,2004
2002-12,0.0,-1332.24,pre_CU,,,2004
2002-36,0.0,1145.7264,pre_CU,0.0,0.0,2004
2003-00,817419.1662,18736.2903,pre_CU,0.022921275980230374,0.011460637990115187,2004
2003-01,228026.1984,760206.1194,pre_CU,0.29995312137183516,0.10762479911735517,2004
2003-02,193051.5678,1049004.1107,pre_CU,0.18403318521905196,0.12672689564277936,2004
2003-03,205954.31220000001,1827008.9565,pre_CU,0.11272758760556191,0.15490879254416984,2004
2003-04,272682.88320000004,1567177.1934000002,pre_CU,0.17399620435288043,0.19267752463733234,2004
2003-05,237020.4837,1757987.2674,pre_CU,0.1348249148872078,0.15139547301617554,2004
2003-06,205669.5459,1428782.4369,pre_CU,0.1439474202568146,0.1413740317756162,2004
2003-07,240066.3174,1332598.0395,pre_CU,0.18014908493342416,0.15822940610758174,2004
2003-08,328015.8063,2879513.5278,pre_CU,0.11391361878775752,0.143208759716301,2004
2003-09,233591.631,3530469.306,pre_CU,0.06616447014650806,0.12604364853112607,2004
2003-10,209709.56370000003,4744214.8845,pre_CU,0.04420321777269194,0.10110759791009542,2004
2003-11,243628.39409999998,3978130.2561000003,pre_CU,0.06124193488295768,0.0713808103974788,2004
2003-12,230853.87780000002,5920894.2156,pre_CU,0.03898969807495644,0.05264983021927853,2004
2003-13,816151.8729,7665280.977899999,pre_CU,0.10647383641292105,0.06272717178588177,2004
2003-14,293169.40380000003,867974.3436,pre_CU,0.3377627529680821,0.1361170555847293,2004
2003-15,197749.3791,1139546.4716999999,pre_CU,0.17353340474565573,0.16418992305040384,2004
2003-16,156714.7218,1734896.2176,pre_CU,0.0903308913871483,0.17702522137845178,2004
2003-17,219296.6958,1759545.9882,pre_CU,0.12463254570819064,0.18156489870226922,2004
2003-18,212130.9099,1358396.8671,pre_CU,0.1561626907700927,0.13616488315277184,2004
2003-19,304726.5858,1303570.1952,pre_CU,0.23376308151418526,0.15122230234490425,2004
2003-20,208319.0382,1413536.6154,pre_CU,0.14737434880033176,0.1654831666982001,2004
2003-21,601096.6962,1955018.9022000001,pre_CU,0.3074633680132609,0.21119087227446767,2004
2003-22,2412117.1074,2403375.9477,pre_CU,0.9963761462189444,0.4212442361366806,2004
2003-23,4241199.3624,2200082.7849,pre_CU,0.5187407138661414,0.49248864422466965,2004
