Cycle,Individual,PAC Direct,IE,527
2004,-10.634303513291012,56.06781477055721,-60.44915544603897,-54.0147932816866
2008,-19.88260761068104,60.18047853290022,2.10486869973029,-36.65418259484884
2012,14.242548254353906,97.08107043501809,41.819821218399795,-27.42303312742266
2020,-13.652544889289913,21.82614921573567,-32.34254297263413,-83.96859797828552
